label,author,title,journal,volume,issue,pages,doi,year,citation,screened_titles,notes
Tobler_2015_EVOL,"Tobler, Ray and Hermisson, Joachim and Schloetterer, Christian",Parallel trait adaptation across opposing thermal environments in experimental Drosophila melanogaster populations,EVOLUTION,69,7,1745-1759,10.1111/evo.12705,2015,Parallel Trait Adaptation Across Opposing Thermal Environments in Experimental Drosophila Melanogaster Populations.,selected,NA
Bozinovic_2016_ENVIPHYS,"Bozinovic, Francisco and Medina, Nadia R. and Alruiz, Jose M. and Cavieres, Grisel and Sabat, Pablo",Thermal tolerance and survival responses to scenarios of experimental climatic change: changing thermal variability reduces the heat and cold tolerance in a fly,ENVIRONMENTAL PHYSIOLOGY,186,5,581-587,10.1007/s00360-016-0980-6,2016,Thermal Tolerance and Survival Responses to Scenarios of Experimental Climatic Change: Changing Thermal Variability Reduces the Heat and Cold Tolerance in a Fly.,selected,NA
Kellermann_2015_AMERNATU,"Kellermann, Vanessa and Hoffmann, Ary A. and Kristensen, Torsten Nygaard and Moghadam, Neda Nasiri and Loeschcke, Volker",Experimental Evolution under Fluctuating Thermal Conditions Does Not Reproduce Patterns of Adaptive Clinal Differentiation in Drosophila melanogaster,AMERICAN NATURALIST,186,5,582-593,10.1086/683252,2015,Experimental Evolution under Fluctuating Thermal Conditions Does not Reproduce Patterns of Adaptive Clinal Differentiation in Drosophila Melanogaster.,selected,NA
Fragata_2016_EVOL,"Fragata, Ines and Lopes-Cunha, Miguel and Barbaro, Margarida and Kellen, Barbara and Lima, Margarida and Faria, Goncalo S. and Seabra, Sofia G. and Santos, Mauro and Simoes, Pedro and Matos, Margarida",Keeping your options open: Maintenance of thermal plasticity during adaptation to a stable environment,EVOLUTION,70,1,195-206,10.1111/evo.12828,2016,Keeping your Options Open: Maintenance of Thermal Plasticity During Adaptation to a Stable Environment.,selected,NA
Saarinen_2018_ECOANDEVO,"Saarinen, Kati and Laakso, Jouni and Lindstrom, Leena and Ketola, Tarmo",Adaptation to fluctuations in temperature by nine species of bacteria,ECOLOGY AND EVOLUTION,8,5,2901-2910,10.1002/ece3.3823,2018,Adaptation to Fluctuations in Temperature by Nine Species of Bacteria.,selected,NA
Adrian_2016_ECOANDEVO,"Adrian, Gregory J. and Czarnoleski, Marcin and Angilletta, Michael J., Jr.",Flies evolved small bodies and cells at high or fluctuating temperatures,ECOLOGY AND EVOLUTION,6,22,7991-7996,10.1002/ece3.2534,2016,Flies Evolved Small Bodies and Cells at High or Fluctuating Temperatures.,selected,NA
Kremp_2012_ECOANDEVO,"Kremp, Anke and Godhe, Anna and Egardt, Jenny and Dupont, Sam and Suikkanen, Sanna and Casabianca, Silvia and Penna, Antonella",Intraspecific variability in the response of bloom-forming marine microalgae to changed climate conditions,ECOLOGY AND EVOLUTION,2,6,1195-1207,10.1002/ece3.245,2012,Intraspecific Variability in the Response of Bloom-Forming Marine Microalgae to Changed Climate Conditions.,selected,NA
Jallet_2020_FRINMI,"Jallet, Arthur J. and Le Rouzic, Arnaud and Genissel, Anne",Evolution and Plasticity of the Transcriptome Under Temperature Fluctuations in the Fungal Plant PathogenZymoseptoria tritici,FRONTIERS IN MICROBIOLOGY,11,NA,NA,10.3389/fmicb.2020.573829,2020,Evolution and Plasticity of the Transcriptome under Temperature Fluctuations in the Fungal Plant Pathogenzymoseptoria Tritici.,selected,NA
St.Juliana_2007_JOOFEVBI,"St Juliana, J. R. and Janzen, F. J.",Can natural phenotypic variances be estimated reliably under homogeneous laboratory conditions?,JOURNAL OF EVOLUTIONARY BIOLOGY,20,4,1406-1414,10.1111/j.1420-9101.2007.01343.x,2007,can Natural Phenotypic Variances be Estimated Reliably under Homogeneous Laboratory Conditions?,selected,NA
Duncan_2017_JOOFEVBI,"Duncan, A. B. and Dusi, E. and Jacob, F. and Ramsayer, J. and Hochberg, M. E. and Kaltz, O.",Hot spots become cold spots: coevolution in variable temperature environments,JOURNAL OF EVOLUTIONARY BIOLOGY,30,1,55-65,10.1111/jeb.12985,2017,Hot Spots Become Cold Spots: Coevolution in Variable Temperature Environments.,selected,NA
Hallsson_2012_JOOFEVBI,"Hallsson, L. R. and Bjorklund, M.",Selection in a fluctuating environment leads to decreased genetic variation and facilitates the evolution of phenotypic plasticity,JOURNAL OF EVOLUTIONARY BIOLOGY,25,7,1275-1290,10.1111/j.1420-9101.2012.02512.x,2012,Selection in a Fluctuating Environment Leads to Decreased Genetic Variation and Facilitates the Evolution of Phenotypic Plasticity.,selected,NA
Heine_2014_ENVSCIANDPOLRES,"Heine, S. and Schmitt, W. and Goerlitz, G. and Schaeffer, A. and Preuss, T. G.",Effects of light and temperature fluctuations on the growth of Myriophyllum spicatum in toxicity tests-a model-based analysis,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,21,16,9644-9654,10.1007/s11356-014-2886-8,2014,Effects of Light and Temperature Fluctuations on the Growth of Myriophyllum Spicatum in Toxicity Tests-a Model-Based Analysis.,selected,NA